shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_536_1,24.79185,125.2676,180149
shapes_536_1,24.79204,125.26808,180150
shapes_536_1,24.79204,125.26808,190001
shapes_536_1,24.79209,125.26821,190002
shapes_536_1,24.79224,125.26856,190003
shapes_536_1,24.79242,125.2689,190004
shapes_536_1,24.79256,125.26906,190005
shapes_536_1,24.79261,125.26911,190006
shapes_536_1,24.79308,125.26953,190007
shapes_536_1,24.79341,125.26971,190008
shapes_536_1,24.79382,125.26988,190009
shapes_536_1,24.79405,125.27001,190010
shapes_536_1,24.79405,125.27001,200001
shapes_536_1,24.79455,125.2703,200002
shapes_536_1,24.79473,125.27042,200003
shapes_536_1,24.79513,125.27072,200004
shapes_536_1,24.7954,125.27099,200005
shapes_536_1,24.7959,125.2715,200006
shapes_536_1,24.79623,125.27188,200007
shapes_536_1,24.79661,125.27237,200008
shapes_536_1,24.79674,125.27252,200009
shapes_536_1,24.79674,125.27252,210001
shapes_536_1,24.79716,125.27303,210002
shapes_536_1,24.79761,125.27352,210003
shapes_536_1,24.79767,125.27357,210004
shapes_536_1,24.798,125.27386,210005
shapes_536_1,24.79847,125.27433,210006
shapes_536_1,24.79861,125.27442,210007
shapes_536_1,24.79907,125.27472,210008
shapes_536_1,24.79943,125.27498,210009
shapes_536_1,24.79968,125.2752,210010
shapes_536_1,24.79977,125.27528,210011
shapes_536_1,24.80004,125.2755,210012
shapes_536_1,24.80004,125.2755,220001
shapes_536_1,24.80014,125.27558,220002
shapes_536_1,24.8005,125.27587,220003
shapes_536_1,24.80073,125.27621,220004
shapes_536_1,24.80087,125.27663,220005
shapes_536_1,24.80102,125.27697,220006
shapes_536_1,24.80121,125.27718,220007
shapes_536_1,24.8015,125.27719,220008
shapes_536_1,24.80173,125.27723,220009
shapes_536_1,24.80197,125.27742,220010
shapes_536_1,24.80212,125.27756,220011
shapes_536_1,24.80218,125.27761,220012
shapes_536_1,24.80254,125.27796,220013
shapes_536_1,24.80279,125.27816,220014
shapes_536_1,24.80322,125.27837,220015
shapes_536_1,24.80368,125.27881,220016
shapes_536_1,24.80395,125.27907,220017
shapes_536_1,24.80344,125.27949,220018
shapes_536_1,24.80344,125.27949,230001
shapes_536_1,24.80342,125.27951,230002
shapes_536_1,24.80321,125.27968,230003
shapes_536_1,24.80279,125.28004,230004
shapes_536_1,24.80213,125.28069,230005
shapes_536_1,24.80213,125.28069,240001
shapes_536_1,24.80189,125.28093,240002
shapes_536_1,24.80148,125.28131,240003
shapes_536_1,24.79982,125.28234,240004
shapes_536_1,24.79923,125.28271,240005
shapes_536_1,24.79952,125.28304,240006
shapes_536_1,24.79972,125.28329,240007
shapes_536_1,24.8,125.28366,240008
shapes_536_1,24.80018,125.2839,240009
shapes_536_1,24.80018,125.2839,250001
shapes_536_1,24.80022,125.28395,250002
shapes_536_1,24.80042,125.28423,250003
shapes_536_1,24.80001,125.28455,250004
shapes_536_1,24.79947,125.28506,250005
shapes_536_1,24.79938,125.28513,250006
shapes_536_1,24.7992,125.28529,250007
shapes_536_1,24.79893,125.2855,250008
shapes_536_1,24.79861,125.28577,250009
shapes_536_1,24.79824,125.28608,250010
shapes_536_1,24.79792,125.28637,250011
shapes_536_1,24.79759,125.28689,250012
shapes_536_1,24.7975,125.28705,250013
shapes_536_1,24.797478,125.287033,260001
shapes_536_1,24.796893402238783,125.2880108356476,260002
shapes_536_1,24.798500432382802,125.28937339782716,260003
shapes_536_1,24.7985,125.28938,270001
shapes_536_1,24.79914,125.28992,270002
shapes_536_1,24.79886,125.29033,270003
shapes_536_1,24.79866,125.29054,270004
shapes_536_1,24.79853,125.29067,270005
shapes_536_1,24.79853,125.29068,270006
shapes_536_1,24.79853,125.29068,280001
shapes_536_1,24.79842,125.29077,280002
shapes_536_1,24.79838,125.29081,280003
shapes_536_1,24.79819,125.29098,280004
shapes_536_1,24.79766,125.29137,280005
shapes_536_1,24.79714,125.29177,280006
shapes_536_1,24.7967,125.2921,280007
shapes_536_1,24.79628,125.29242,280008
shapes_536_1,24.79628,125.29242,280009
shapes_536_1,24.79628,125.29242,290001
shapes_536_1,24.79587,125.29275,290002
shapes_536_1,24.79556,125.29298,290003
shapes_536_1,24.79522,125.29324,290004
shapes_536_1,24.7949,125.29347,290005
shapes_536_1,24.79442,125.29379,290006
shapes_536_1,24.79435,125.29383,290007
shapes_536_1,24.7943,125.29387,290008
shapes_536_1,24.79419,125.29393,290009
shapes_536_1,24.79398,125.29403,290010
shapes_536_1,24.79382,125.29411,290011
shapes_536_1,24.79358,125.29422,290012
shapes_536_1,24.79338,125.2943,290013
shapes_536_1,24.79304,125.29442,290014
shapes_536_1,24.79295,125.29445,290015
shapes_536_1,24.79276,125.29451,290016
shapes_536_1,24.79257,125.29455,290017
shapes_536_1,24.79229,125.29461,290018
shapes_536_1,24.79207,125.29465,290019
shapes_536_1,24.79174,125.2947,290020
shapes_536_1,24.79172,125.29471,290021
shapes_536_1,24.79172,125.29471,300001
shapes_536_1,24.79149,125.29475,300002
shapes_536_1,24.79135,125.29477,300003
shapes_536_1,24.79122,125.2948,300004
shapes_536_1,24.7911,125.29485,300005
shapes_536_1,24.79098,125.29491,300006
shapes_536_1,24.79087,125.29497,300007
shapes_536_1,24.79076,125.29506,300008
shapes_536_1,24.79063,125.29518,300009
shapes_536_1,24.79034,125.29546,300010
shapes_536_1,24.79016,125.29564,300011
shapes_536_1,24.78999,125.29579,300012
shapes_536_1,24.78985,125.29592,300013
shapes_536_1,24.7897,125.29607,300014
shapes_537_1,24.7897,125.29607,310001
shapes_537_1,24.78985,125.29592,310002
shapes_537_1,24.78999,125.29579,310003
shapes_537_1,24.79016,125.29564,310004
shapes_537_1,24.79034,125.29546,310005
shapes_537_1,24.79063,125.29518,310006
shapes_537_1,24.79076,125.29506,310007
shapes_537_1,24.79087,125.29497,310008
shapes_537_1,24.79098,125.29491,310009
shapes_537_1,24.7911,125.29485,310010
shapes_537_1,24.79122,125.2948,310011
shapes_537_1,24.79135,125.29477,310012
shapes_537_1,24.79149,125.29475,310013
shapes_537_1,24.79172,125.29471,310014
shapes_537_1,24.79172,125.29471,320001
shapes_537_1,24.79174,125.2947,320002
shapes_537_1,24.79207,125.29465,320003
shapes_537_1,24.79229,125.29461,320004
shapes_537_1,24.79257,125.29455,320005
shapes_537_1,24.79276,125.29451,320006
shapes_537_1,24.79295,125.29445,320007
shapes_537_1,24.79304,125.29442,320008
shapes_537_1,24.79338,125.2943,320009
shapes_537_1,24.79358,125.29422,320010
shapes_537_1,24.79382,125.29411,320011
shapes_537_1,24.79398,125.29403,320012
shapes_537_1,24.79419,125.29393,320013
shapes_537_1,24.7943,125.29387,320014
shapes_537_1,24.79435,125.29383,320015
shapes_537_1,24.79442,125.29379,320016
shapes_537_1,24.7949,125.29347,320017
shapes_537_1,24.79522,125.29324,320018
shapes_537_1,24.79556,125.29298,320019
shapes_537_1,24.79587,125.29275,320020
shapes_537_1,24.79628,125.29242,320021
shapes_537_1,24.79628,125.29242,330001
shapes_537_1,24.79628,125.29242,330002
shapes_537_1,24.7967,125.2921,330003
shapes_537_1,24.79714,125.29177,330004
shapes_537_1,24.79766,125.29137,330005
shapes_537_1,24.79819,125.29098,330006
shapes_537_1,24.79838,125.29081,330007
shapes_537_1,24.79842,125.29077,330008
shapes_537_1,24.79853,125.29068,330009
shapes_537_1,24.79853,125.29068,340001
shapes_537_1,24.79853,125.29067,340002
shapes_537_1,24.79866,125.29054,340003
shapes_537_1,24.79886,125.29033,340004
shapes_537_1,24.79914,125.28992,340005
shapes_537_1,24.7985,125.28938,340006
shapes_537_1,24.7985,125.28938,350001
shapes_537_1,24.79825,125.28918,350002
shapes_537_1,24.79807,125.28902,350003
shapes_537_1,24.79802,125.28898,350004
shapes_537_1,24.79784585694429,125.28890132904054,350005
shapes_537_1,24.79779130892186,125.28881549835206,350006
shapes_537_1,24.797689991275977,125.28870820999147,350007
shapes_537_1,24.79758089447529,125.28855371449029,350008
shapes_537_1,24.79727308420548,125.28839063670604,350009
shapes_537_1,24.79690288043527,125.28803014676672,350010
shapes_537_1,24.79706,125.28775,350011
shapes_537_1,24.79719,125.28758,350012
shapes_537_1,24.79733,125.28735,350013
shapes_537_1,24.7975,125.28705,350014
shapes_537_1,24.7975,125.28705,360001
shapes_537_1,24.79759,125.28689,360002
shapes_537_1,24.79792,125.28637,360003
shapes_537_1,24.79824,125.28608,360004
shapes_537_1,24.79861,125.28577,360005
shapes_537_1,24.79893,125.2855,360006
shapes_537_1,24.7992,125.28529,360007
shapes_537_1,24.79938,125.28513,360008
shapes_537_1,24.79947,125.28506,360009
shapes_537_1,24.80001,125.28455,360010
shapes_537_1,24.80042,125.28423,360011
shapes_537_1,24.80022,125.28395,360012
